,evolving_skies_bb,lost_origin_bb,fusion_strike_bb,brilliant_stars_bb,chilling_reign_bb,silver_tempest_bb,astral_radiance_bb,battle_styles_bb,vivid_voltage_bb,darkness_ablaze_bb,rebel_clash_bb,paldea_evolved_bb,twilight_masquerade_bb,team_up_bb,cosmic_eclipse_bb,unbroken_bonds_bb,unified_minds_bb,ultra_prism_bb,crimson_invasion_bb,crown_zenith_etb,celebrations_etb,shining_fates_etb,hidden_fates_etb,scarlet_violet_151_etb,scarlet_violet_151_bundle,umbreon_vmax_215,rayquaza_vmax_218,giratina_v_186,gengar_vmax_271,charizard_v_154,roaring_skies_bb,evolutions_bb,flashfire_bb,ancient_origins_bb,burning_shadows_bb,lost_thunder_bb,obsidian_flames_bb,paradox_rift_bb,temporal_forces_bb,jp_vstar_universe_bb,jp_vmax_climax_bb,jp_shiny_star_v_bb,jp_tag_all_stars_bb,jp_shiny_treasure_bb,op01_romance_dawn_bb,op02_paramount_war_bb,op03_pillars_strength_bb,op05_new_era_bb,op06_wings_captain_bb,magikarp_203,greninja_ex_214,latias_latios_170,charizard_gx_sv49,scarlet_violet_base_bb,stellar_crown_bb,surging_sparks_bb
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,164.88,0.0,0.0,0.0
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,492.59,0.0,0.0,0.0
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,502.27,0.0,0.0,0.0
2021-05-01,,,,,,,,100.6,173.85,,,,,,,,,,,,,51.53,,,,,,,,,,,3042.59,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,467.48,0.0,0.0,0.0
2021-06-01,,,,,105.41,,,100.6,166.85,173.72,154.58,,,99.38,9.03,321.54,295.92,326.35,149.94,,,59.31,,,,,,,,,318.68,585.25,3189.82,100.6,343.51,365.6,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,370.7,0.0,0.0,0.0
2021-07-01,,,,,122.68,,,98.43,125.14,172.98,154.58,,,99.38,9.03,347.39,291.01,309.17,147.22,,,54.47,28.21,,,,,,,,336.65,726.3,3116.2,100.6,326.5,370.51,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,349.44,0.0,0.0,0.0
2021-08-01,,,,,119.01,,,100.85,130.86,156.34,143.59,,,99.38,9.03,332.41,297.39,309.17,140.84,,,54.47,67.87,,,,,,,,365.09,701.76,3116.2,100.6,328.8,351.93,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,349.44,0.0,0.0,0.0
2021-09-01,,,,,125.14,,,113.09,146.07,169.3,143.59,,,99.38,14.24,336.48,304.26,309.17,151.94,,,52.01,142.32,,,208.25,238.72,,,,383.76,684.09,2799.99,100.6,300.56,355.94,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,325.91,0.0,0.0,0.0
2021-10-01,,,,,126.86,,,118.26,156.8,170.29,143.59,,,99.38,14.24,321.92,297.21,313.37,140.87,,,56.43,145.99,,,184.64,215.33,,,,358.24,656.07,2799.99,100.6,277.76,377.73,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,310.18,0.0,0.0,0.0
2021-11-01,,,24.54,,104.28,,,91.76,125.23,159.99,143.59,,,667.34,448.36,322.09,275.67,313.37,140.87,,,53.84,211.14,,,178.27,174.48,,121.07,,348.92,611.56,2536.58,415.72,311.41,383.52,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,324.77,0.0,0.0,0.0
